,prj_name,duong,xa,huyen,tinh,ref_xa_code,ref_huyen_code,ref_tinh_code,area,pn,price,source,unit_price
5577,the-eastern,duong-lien,phuong-phu-huu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772606,772629,180175,112.0,3,2800000000.0,bds,25000000.0
5578,five-star-kim-giang,duong-kim-giang,phuong-ha-dinh,quan-thanh-xuan,thanh-pho-ha-noi,195360,150965,148873,84.0,-1,3780000000.0,bds,45000000.0
5579,five-star-kim-giang,duong-kim-giang,phuong-ha-dinh,quan-thanh-xuan,thanh-pho-ha-noi,195360,150965,148873,73.89,2,3000000000.0,bds,40600893.219650835
5580,the-origami-vinhomes-grand-park,duong-nguyen-xien,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,59.0,2,2300000000.0,bds,38983050.847457625
5581,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,72.0,-1,3850000000.0,bds,53472222.222222224
5582,cao-oc-thinh-vuong,nan,phuong-binh-trung-dong,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772617,772629,180175,62.0,2,2200000000.0,bds,35483870.96774194
5583,sky-9,duong-lien,phuong-phu-huu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772606,772629,180175,63.0,2,1930000000.0,bds,30634920.634920634
5584,phoenix-tower,duong-le-thai-to,phuong-dai-phuc,thanh-pho-bac-ninh,tinh-bac-ninh,196052,142204,142203,50.0,1,1400000000.0,bds,28000000.0
5585,vinhomes-grand-park,nan,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,69.0,2,2600000000.0,bds,37681159.42028985
5586,sky-9,duong-lien,phuong-phu-huu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772606,772629,180175,37.0,1,1170000000.0,bds,31621621.62162162
5588,vov-me-tri,duong-luong-the-vinh,phuong-me-tri,quan-nam-tu-liem,thanh-pho-ha-noi,195375,150671,148873,65.0,2,2600000000.0,bds,40000000.0
5589,my-dinh-pearl,nan,phuong-phu-do,quan-nam-tu-liem,thanh-pho-ha-noi,195376,150671,148873,74.0,2,3200000000.0,bds,43243243.24324324
5592,vinhomes-gardenia,duong-ham-nghi,phuong-cau-dien,quan-nam-tu-liem,thanh-pho-ha-noi,195369,150671,148873,75.5,2,3500000000.0,bds,46357615.894039735
5593,the-legend-tower-109-nguyen-tuan,duong-nguyen-tuan,phuong-nhan-chinh,quan-thanh-xuan,thanh-pho-ha-noi,195354,150965,148873,78.5,2,4200000000.0,bds,53503184.7133758
5594,goldmark-city,duong-ho-tung-mau,phuong-phu-dien,quan-bac-tu-liem,thanh-pho-ha-noi,195397,149087,148873,134.0,3,3780000000.0,bds,28208955.223880596
5595,vinhomes-ocean-park-gia-lam,nan,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,70.0,2,1990000000.0,bds,28428571.42857143
5597,sky-9,duong-1,phuong-phu-huu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772606,772629,180175,75.0,3,2100000000.0,bds,28000000.0
5599,rivera-park-ha-noi,duong-vu-trong-phung,phuong-thanh-xuan-trung,quan-thanh-xuan,thanh-pho-ha-noi,195358,150965,148873,72.0,2,3750000000.0,bds,52083333.333333336
5600,the-eastern,duong-lien,phuong-phu-huu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772606,772629,180175,97.0,3,2500000000.0,bds,25773195.87628866
5602,safira-khang-dien,duong-vo-chi-cong,phuong-phu-huu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772606,772629,180175,50.0,1,1950000000.0,bds,39000000.0
5604,vinhomes-grand-park,duong-nguyen-xien,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,70.0,2,2350000000.0,bds,33571428.571428575
5605,sky-9,duong-1,phuong-phu-huu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772606,772629,180175,50.0,2,1700000000.0,bds,34000000.0
5607,vinhomes-ocean-park-gia-lam,nan,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,47.0,1,1320000000.0,bds,28085106.382978722
5608,vinhomes-ocean-park-gia-lam,nan,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,51.0,1,2100000000.0,bds,41176470.5882353
5609,vinhomes-ocean-park-gia-lam,nan,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,31.0,1,1050000000.0,bds,33870967.741935484
5610,the-legend-tower-109-nguyen-tuan,duong-nguyen-tuan,phuong-thanh-xuan-trung,quan-thanh-xuan,thanh-pho-ha-noi,195358,150965,148873,107.0,3,5800000000.0,bds,54205607.476635516
5613,bcons-garden,duong-pham-huu-lau,phuong-di-an,thanh-pho-di-an,tinh-binh-duong,728777,728081,345944,63.0,2,1580000000.0,bds,25079365.07936508
5623,richmond-city,pho-nguyen-xi,phuong-26,quan-binh-thanh,thanh-pho-ho-chi-minh,195511,184576,180175,67.0,2,3500000000.0,bds,52238805.97014926
5629,sky-9,duong-lien,phuong-phu-huu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772606,772629,180175,75.0,3,2200000000.0,bds,29333333.333333332
5631,the-origami-vinhomes-grand-park,duong-nguyen-xien,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,33.0,1,1850000000.0,bds,56060606.06060606
5633,khu-do-thi-kim-van-kim-lu-golden-silk,duong-nghiem-xuan-yem,phuong-dai-kim,quan-hoang-mai,thanh-pho-ha-noi,195345,150379,148873,73.0,3,2250000000.0,bds,30821917.80821918
5634,sky-9,duong-lien,phuong-phu-huu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772606,772629,180175,50.0,2,1750000000.0,bds,35000000.0
5637,the-canopy-residences-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,46.0,1,2500000000.0,bds,54347826.08695652
5638,the-hyco4-tower,pho-nguyen-xi,phuong-26,quan-binh-thanh,thanh-pho-ho-chi-minh,195511,184576,180175,87.0,2,3500000000.0,bds,40229885.05747127
5639,imperia-garden,duong-nguyen-huy-tuong,phuong-thanh-xuan-trung,quan-thanh-xuan,thanh-pho-ha-noi,195358,150965,148873,81.0,2,3880000000.0,bds,47901234.56790123
5641,ehome-southgate,duong-dt-830,xa-an-thanh-3,huyen-cu-lao-dung,tinh-soc-trang,360695,348891,348886,51.0,-1,1000000000.0,bds,19607843.1372549
5645,hud3-nguyen-duc-canh,duong-nguyen-duc-canh,phuong-tuong-mai,quan-hoang-mai,thanh-pho-ha-noi,195344,150379,148873,91.0,3,3700000000.0,bds,40659340.65934066
5651,lumiere-riverside,duong-xa-lo-ha-noi,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,96.0,-1,11000000000.0,bds,114583333.33333333
5653,handico-complex,duong-le-van-luong,phuong-nhan-chinh,quan-thanh-xuan,thanh-pho-ha-noi,195354,150965,148873,70.4,2,4083200000.000001,bds,58000000.00000001
5654,chung-cu-binh-minh,pho-luong-dinh-cua,phuong-binh-an,thanh-pho-di-an,tinh-binh-duong,728775,728081,345944,106.0,3,3400000000.0,bds,32075471.698113207
5655,opal-skyline,duong-nguyen-van-tiet,phuong-lai-thieu,thanh-pho-thuan-an,tinh-binh-duong,359425,345945,345944,84.0,3,1950000000.0,bds,23214285.714285713
5656,him-lam-cho-lon,duong-hau-giang,phuong-11,quan-6,thanh-pho-ho-chi-minh,195655,182066,180175,97.0,2,3700000000.0,bds,38144329.89690722
5659,the-emerald-golf-view,duong-dai-lo-binh-duong,phuong-lai-thieu,thanh-pho-thuan-an,tinh-binh-duong,359425,345945,345944,83.0,3,1950000000.0,bds,23493975.903614458
5664,the-zenpark,duong-dong-du-1,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,72.0,2,2800000000.0,bds,38888888.88888889
5665,vinhomes-gardenia,duong-ham-nghi,phuong-cau-dien,quan-nam-tu-liem,thanh-pho-ha-noi,195369,150671,148873,79.0,2,3200000000.0,bds,40506329.11392405
5666,vinhomes-gardenia,duong-ham-nghi,phuong-cau-dien,quan-nam-tu-liem,thanh-pho-ha-noi,195369,150671,148873,107.0,3,4300000000.0,bds,40186915.88785047
5667,the-tonkin-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,81.0,2,4580000000.0,bds,56543209.87654321
5671,chung-cu-the-legacy,nan,phuong-thanh-xuan-trung,quan-thanh-xuan,thanh-pho-ha-noi,195358,150965,148873,134.6,3,5720500000.0,bds,42500000.0
5674,ha-noi-paragon,duong-pham-hung,phuong-dich-vong-hau,quan-cau-giay,thanh-pho-ha-noi,195295,149252,148873,102.37,3,5350000000.0,bds,52261404.708410665
5676,eco-xuan-lai-thieu,duong-quoc-lo-13,phuong-lai-thieu,thanh-pho-thuan-an,tinh-binh-duong,359425,345945,345944,86.0,3,1940000000.0,bds,22558139.534883723
5677,ha-noi-paragon,nan,phuong-dich-vong-hau,quan-cau-giay,thanh-pho-ha-noi,195295,149252,148873,81.0,3,4100000000.0,bds,50617283.95061728
5679,ha-noi-paragon,nan,phuong-dich-vong-hau,quan-cau-giay,thanh-pho-ha-noi,195295,149252,148873,80.71,2,4400000000.0,bds,54516169.0001239
5681,flc-premier-parc-dai-mo,duong-70-2,phuong-dai-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195377,150671,148873,55.0,2,2030000000.0,bds,36909090.90909091
