,prj_name,duong,xa,huyen,tinh,ref_xa_code,ref_huyen_code,ref_tinh_code,area,pn,price,source,unit_price
0,sunrise-city,duong-nguyen-huu-tho,phuong-tan-hung,quan-7,thanh-pho-ho-chi-minh,195692,182215,180175,106.0,2,4500000000.0,bds,42452830.18867925
3,the-zenpark,duong-dong-du-1,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,71.0,2,2730000000.0,bds,38450704.225352116
4,vinhomes-times-city-park-hill,duong-minh-khai,phuong-vinh-tuy,quan-hai-ba-trung,thanh-pho-ha-noi,195334,149556,148873,95.0,3,4500000000.0,bds,47368421.05263158
5,masteri-thao-dien,duong-xa-lo-ha-noi,phuong-thao-dien,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772622,772629,180175,75.0,2,4250000000.0,bds,56666666.666666664
8,vinhomes-grand-park,nan,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,69.0,2,2350000000.0,bds,34057971.01449275
9,vinhomes-smart-city,duong-dai-lo-thang-long,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,54.0,2,2400000000.0,bds,44444444.44444445
11,zenity,duong-vo-van-kiet,phuong-cau-kho,quan-1,thanh-pho-ho-chi-minh,195455,180176,180175,108.0,2,9180000000.0,bds,85000000.0
13,masteri-west-heights,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,68.0,2,3700000000.0,bds,54411764.705882356
14,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,54.0,2,2600000000.0,bds,48148148.14814815
15,masteri-thao-dien,duong-xa-lo-ha-noi,phuong-thao-dien,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772622,772629,180175,69.0,2,3890000000.0,bds,56376811.5942029
16,times-city,duong-minh-khai,phuong-vinh-tuy,quan-hai-ba-trung,thanh-pho-ha-noi,195334,149556,148873,80.0,2,4000000000.0,bds,50000000.0
19,masteri-west-heights,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,89.0,3,5800000000.0,bds,65168539.32584269
20,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,80.0,3,3900000000.0,bds,48750000.0
22,vinhomes-ocean-park-gia-lam,nan,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,82.0,3,2430000000.0,bds,29634146.341463413
24,ehome-southgate,duong-dt-830,xa-an-thanh-3,huyen-cu-lao-dung,tinh-soc-trang,360695,348891,348886,51.0,2,1000000000.0,bds,19607843.1372549
27,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,85.0,2,4250000000.0,bds,50000000.0
28,lumiere-riverside,duong-xa-lo-ha-noi,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,77.0,2,6100000000.0,bds,79220779.22077923
30,brg-diamond-residence,duong-le-van-luong,phuong-nhan-chinh,quan-thanh-xuan,thanh-pho-ha-noi,195354,150965,148873,151.0,4,8758000000.0,bds,58000000.0
31,lumiere-riverside,duong-xa-lo-ha-noi,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,77.1,2,6600000000.0,bds,85603112.84046693
35,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,60.0,2,2500000000.0,bds,41666666.666666664
36,sunrise-city,duong-nguyen-huu-tho,phuong-tan-hung,quan-7,thanh-pho-ho-chi-minh,195692,182215,180175,120.0,-1,5000000000.0,bds,41666666.666666664
37,masteri-thao-dien,duong-xa-lo-ha-noi,phuong-thao-dien,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772622,772629,180175,65.0,2,4300000000.0,bds,66153846.15384615
38,royal-city,duong-nguyen-trai,phuong-thuong-dinh,quan-thanh-xuan,thanh-pho-ha-noi,195355,150965,148873,110.0,2,5200000000.0,bds,47272727.27272727
40,westgate,duong-tan-tuc,thi-tran-tan-tuc,huyen-binh-chanh,thanh-pho-ho-chi-minh,195732,185630,180175,85.0,3,3400000000.0,bds,40000000.0
41,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,82.0,3,4000000000.0,bds,48780487.80487805
42,q7-saigon-riverside,duong-dao-tri,phuong-phu-thuan,quan-7,thanh-pho-ho-chi-minh,195695,182215,180175,69.0,2,2400000000.0,bds,34782608.69565217
46,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,55.0,2,2600000000.0,bds,47272727.27272727
47,khai-son-city,nan,phuong-ngoc-thuy,quan-long-bien,thanh-pho-ha-noi,195278,150530,148873,120.0,3,4400000000.0,bds,36666666.666666664
48,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,92.0,2,4300000000.0,bds,46739130.43478261
49,vinhomes-central-park,duong-dien-bien-phu,phuong-22,quan-binh-thanh,thanh-pho-ho-chi-minh,195525,184576,180175,85.0,2,4500000000.0,bds,52941176.47058824
50,imperia-an-phu,nan,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,136.0,3,6400000000.0,bds,47058823.52941176
52,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,85.4,2,4350000000.0,bds,50936768.1498829
54,khai-son-city,nan,phuong-ngoc-thuy,quan-long-bien,thanh-pho-ha-noi,195278,150530,148873,77.51,2,3150000000.0,bds,40639917.43000903
55,lumiere-riverside,duong-xa-lo-ha-noi,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,70.0,2,6500000000.0,bds,92857142.85714285
56,the-sang-residence,duong-pham-kiet,phuong-khue-my,quan-ngu-hanh-son,thanh-pho-da-nang,357485,277900,277892,82.5,2,3470000000.0,bds,42060606.06060606
57,one-verandah-mapletree,duong-bat-nan,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,82.0,2,5100000000.0,bds,62195121.951219514
58,goldmark-city,duong-ho-tung-mau,phuong-phu-dien,quan-bac-tu-liem,thanh-pho-ha-noi,195397,149087,148873,110.0,3,4000000000.0,bds,36363636.36363637
59,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,88.0,-1,4200000000.0,bds,47727272.72727273
60,vinhomes-green-bay-me-tri,duong-dai-lo-thang-long,phuong-me-tri,quan-nam-tu-liem,thanh-pho-ha-noi,195375,150671,148873,123.0,3,6500000000.0,bds,52845528.45528455
66,brg-diamond-residence,duong-le-van-luong,phuong-nhan-chinh,quan-thanh-xuan,thanh-pho-ha-noi,195354,150965,148873,105.0,3,5880000000.0,bds,56000000.0
70,eurowindow-river-park,duong-5,xa-dong-hoi,huyen-dong-anh,thanh-pho-ha-noi,151446,151363,148873,80.0,2,2100000000.0,bds,26250000.0
71,le-grand-jardin-sai-dong,duong-huynh-van-nghe,phuong-sai-dong,quan-long-bien,thanh-pho-ha-noi,195286,150530,148873,105.0,3,4900000000.0,bds,46666666.666666664
72,imperia-smart-city,duong-dai-lo-thang-long,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,55.0,2,2450000000.0,bds,44545454.54545455
74,le-grand-jardin-sai-dong,duong-huynh-van-nghe,phuong-sai-dong,quan-long-bien,thanh-pho-ha-noi,195286,150530,148873,56.0,2,2050000000.0,bds,36607142.85714286
77,diamond-island,nan,phuong-binh-trung-tay,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772618,772629,180175,118.0,3,10700000000.0,bds,90677966.10169491
79,feliz-en-vista,duong-phan-van-dang,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,107.0,3,8500000000.0,bds,79439252.3364486
81,the-zenpark,duong-dong-du-1,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,81.4,2,3250000000.0,bds,39926289.92628992
82,vista-verde,duong-phan-van-dang,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,135.0,3,8500000000.0,bds,62962962.96296296
83,the-matrix-one,duong-le-quang-dao,phuong-me-tri,quan-nam-tu-liem,thanh-pho-ha-noi,195375,150671,148873,88.0,2,5200000000.0,bds,59090909.09090909
84,le-grand-jardin-sai-dong,duong-huynh-van-nghe,phuong-sai-dong,quan-long-bien,thanh-pho-ha-noi,195286,150530,148873,85.0,3,4100000000.0,bds,48235294.11764706
85,the-grande,nan,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,89.0,2,5800000000.0,bds,65168539.32584269
86,vinhomes-skylake,duong-pham-hung,phuong-my-dinh-1,quan-nam-tu-liem,thanh-pho-ha-noi,195372,150671,148873,70.0,2,4000000000.0,bds,57142857.14285714
89,q7-saigon-riverside,duong-dao-tri,phuong-phu-thuan,quan-7,thanh-pho-ho-chi-minh,195695,182215,180175,68.0,2,2300000000.0,bds,33823529.4117647
90,q7-saigon-riverside,duong-dao-tri,phuong-phu-thuan,quan-7,thanh-pho-ho-chi-minh,195695,182215,180175,86.0,3,3100000000.0,bds,36046511.62790698
91,eurowindow-river-park,duong-5,xa-dong-hoi,huyen-dong-anh,thanh-pho-ha-noi,151446,151363,148873,82.0,3,2300000000.0,bds,28048780.48780488
93,q7-saigon-riverside,duong-dao-tri,phuong-phu-thuan,quan-7,thanh-pho-ho-chi-minh,195695,182215,180175,53.67,1,1950000000.0,bds,36333147.009502515
95,one-verandah-mapletree,duong-bat-nan,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,50.0,1,4300000000.0,bds,86000000.0
96,the-sang-residence,duong-pham-kiet,phuong-khue-my,quan-ngu-hanh-son,thanh-pho-da-nang,357485,277900,277892,82.5,2,3500000000.0,bds,42424242.42424242
97,tecco-garden,duong-tu-hiep,xa-tu-hiep,huyen-thanh-tri,thanh-pho-ha-noi,195384,152474,148873,127.0,4,3320000000.0,bds,26141732.283464566
98,flora-novia,duong-pham-van-dong,phuong-linh-tay,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772592,772629,180175,60.0,2,2250000000.0,bds,37500000.0
99,khu-ngoai-giao-doan,duong-xuan-dinh,phuong-xuan-dinh,quan-bac-tu-liem,thanh-pho-ha-noi,195392,149087,148873,79.0,2,4000000000.0,bds,50632911.39240506
105,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,53.0,1,2390000000.0,bds,45094339.62264151
107,vinhomes-golden-river-ba-son,pho-ton-duc-thang,phuong-ben-nghe,quan-1,thanh-pho-ho-chi-minh,195448,180176,180175,99.0,3,14200000000.0,bds,143434343.43434343
109,diamond-island,nan,phuong-binh-trung-tay,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772618,772629,180175,91.0,2,6750000000.0,bds,74175824.17582418
110,one-verandah-mapletree,duong-bat-nan,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,80.0,2,4800000000.0,bds,60000000.0
111,sunwah-pearl,duong-nguyen-huu-canh,phuong-22,quan-binh-thanh,thanh-pho-ho-chi-minh,195525,184576,180175,99.0,2,11950000000.0,bds,120707070.70707071
112,goldmark-city,duong-ho-tung-mau,phuong-phu-dien,quan-bac-tu-liem,thanh-pho-ha-noi,195397,149087,148873,130.0,3,5900000000.0,bds,45384615.384615384
113,masteri-thao-dien,duong-xa-lo-ha-noi,phuong-thao-dien,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772622,772629,180175,67.0,2,4300000000.0,bds,64179104.47761194
117,one-verandah-mapletree,duong-bat-nan,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,81.0,2,5500000000.0,bds,67901234.56790124
118,the-zenpark,duong-dong-du-1,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,82.0,2,3500000000.0,bds,42682926.82926829
119,le-grand-jardin-sai-dong,duong-huynh-van-nghe,phuong-sai-dong,quan-long-bien,thanh-pho-ha-noi,195286,150530,148873,105.0,-1,4400000000.0,bds,41904761.9047619
120,tecco-garden,duong-tu-hiep,xa-tu-hiep,huyen-thanh-tri,thanh-pho-ha-noi,195384,152474,148873,127.0,4,3430000000.0,bds,27007874.01574803
123,vinhomes-skylake,duong-pham-hung,phuong-my-dinh-1,quan-nam-tu-liem,thanh-pho-ha-noi,195372,150671,148873,106.0,3,5600000000.0,bds,52830188.679245286
124,estella-heights,duong-song-hanh,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,105.0,2,8199999999.999999,bds,78095238.09523809
125,legacy-prime,duong-thuan-giao-25,phuong-thuan-giao,thanh-pho-thuan-an,tinh-binh-duong,359427,345945,345944,35.0,1,1000000000.0,bds,28571428.57142857
127,khai-son-city,nan,phuong-ngoc-thuy,quan-long-bien,thanh-pho-ha-noi,195278,150530,148873,90.0,3,3100000000.0,bds,34444444.44444445
129,sky-city-towers-88-lang-ha,pho-lang-ha,phuong-lang-ha,quan-dong-da,thanh-pho-ha-noi,195306,149387,148873,112.0,2,5824000000.0,bds,52000000.0
130,q7-saigon-riverside,duong-dao-tri,phuong-phu-thuan,quan-7,thanh-pho-ho-chi-minh,195695,182215,180175,68.0,2,2400000000.0,bds,35294117.64705882
131,sunrise-city-view,duong-nguyen-huu-tho,phuong-tan-hung,quan-7,thanh-pho-ho-chi-minh,195692,182215,180175,76.0,2,3750000000.0,bds,49342105.2631579
133,vinhomes-green-bay-me-tri,duong-dai-lo-thang-long,phuong-me-tri,quan-nam-tu-liem,thanh-pho-ha-noi,195375,150671,148873,70.0,2,3250000000.0,bds,46428571.428571425
135,westgate,duong-tan-tuc,thi-tran-tan-tuc,huyen-binh-chanh,thanh-pho-ho-chi-minh,195732,185630,180175,59.0,2,1950000000.0,bds,33050847.457627118
139,vinhomes-west-point,duong-pham-hung,phuong-me-tri,quan-nam-tu-liem,thanh-pho-ha-noi,195375,150671,148873,69.0,2,3400000000.0,bds,49275362.31884058
141,feliz-en-vista,duong-phan-van-dang,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,85.0,2,5500000000.0,bds,64705882.35294118
142,vinhomes-golden-river-ba-son,pho-ton-duc-thang,phuong-ben-nghe,quan-1,thanh-pho-ho-chi-minh,195448,180176,180175,128.0,3,18000000000.0,bds,140625000.0
143,one-verandah-mapletree,duong-bat-nan,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,80.5,2,5100000000.0,bds,63354037.26708075
144,vinhomes-golden-river-ba-son,pho-ton-duc-thang,phuong-ben-nghe,quan-1,thanh-pho-ho-chi-minh,195448,180176,180175,126.6,3,18000000000.0,bds,142180094.78672987
145,masteri-centre-point,duong-nguyen-xien,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,74.4,2,3850000000.0,bds,51747311.82795698
146,khai-son-city,nan,phuong-ngoc-thuy,quan-long-bien,thanh-pho-ha-noi,195278,150530,148873,101.0,3,3800000000.0,bds,37623762.37623762
148,saigon-royal-residence,duong-ben-van-don,phuong-12,quan-4,thanh-pho-ho-chi-minh,195619,181665,180175,80.0,2,6000000000.0,bds,75000000.0
149,thang-long-number-one,nan,phuong-trung-hoa,quan-cau-giay,thanh-pho-ha-noi,195298,149252,148873,87.0,2,3915000000.0,bds,45000000.0
153,vinhomes-times-city-park-hill,duong-minh-khai,phuong-vinh-tuy,quan-hai-ba-trung,thanh-pho-ha-noi,195334,149556,148873,115.0,3,6800000000.0,bds,59130434.782608695
154,royal-city,duong-nguyen-trai,phuong-thuong-dinh,quan-thanh-xuan,thanh-pho-ha-noi,195355,150965,148873,111.0,3,7700000000.0,bds,69369369.36936937
156,vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,43.0,1,1900000000.0,bds,44186046.511627905
157,saigon-pearl,duong-nguyen-huu-canh,phuong-22,quan-binh-thanh,thanh-pho-ho-chi-minh,195525,184576,180175,135.0,3,7000000000.0,bds,51851851.85185185
158,one-verandah-mapletree,duong-bat-nan,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,74.5,2,5100000000.0,bds,68456375.83892618
159,eurowindow-river-park,duong-5,xa-dong-hoi,huyen-dong-anh,thanh-pho-ha-noi,151446,151363,148873,77.0,2,2100000000.0,bds,27272727.272727273
160,the-infiniti-riviera-point,duong-huynh-tan-phat,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,121.0,3,7800000000.0,bds,64462809.91735537
161,masteri-centre-point,duong-nguyen-xien,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,72.0,2,3450000000.0,bds,47916666.666666664
164,zenity,duong-vo-van-kiet,phuong-cau-kho,quan-1,thanh-pho-ho-chi-minh,195455,180176,180175,95.0,2,7200000000.0,bds,75789473.68421052
166,goldmark-city,duong-ho-tung-mau,phuong-phu-dien,quan-bac-tu-liem,thanh-pho-ha-noi,195397,149087,148873,130.0,3,4100000000.0,bds,31538461.53846154
172,sunshine-city,nan,phuong-dong-ngac,quan-bac-tu-liem,thanh-pho-ha-noi,195388,149087,148873,200.0,5,15000000000.0,bds,75000000.0
173,sunrise-city,duong-nguyen-huu-tho,phuong-tan-hung,quan-7,thanh-pho-ho-chi-minh,195692,182215,180175,130.0,2,5000000000.0,bds,38461538.461538464
175,hado-centrosa-garden,duong-3-2-2,phuong-12,quan-10,thanh-pho-ho-chi-minh,195591,183017,180175,138.0,4,12500000000.0,bds,90579710.14492753
176,vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,69.5,2,3000000000.0,bds,43165467.62589928
177,bcons-garden,duong-pham-huu-lau,phuong-di-an,thanh-pho-di-an,tinh-binh-duong,728777,728081,345944,45.0,2,1230000000.0,bds,27333333.333333332
178,fresca-riverside,duong-so-6,phuong-binh-chieu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772586,772629,180175,60.0,2,1890000000.0,bds,31500000.0
179,the-zenpark,duong-dong-du-1,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,86.0,3,3500000000.0,bds,40697674.41860465
181,westgate,duong-tan-tuc,thi-tran-tan-tuc,huyen-binh-chanh,thanh-pho-ho-chi-minh,195732,185630,180175,59.0,2,1980000000.0,bds,33559322.0338983
182,eurowindow-river-park,duong-5,xa-dong-hoi,huyen-dong-anh,thanh-pho-ha-noi,151446,151363,148873,77.2,3,2200000000.0,bds,28497409.32642487
183,hado-centrosa-garden,duong-3-2-2,phuong-12,quan-10,thanh-pho-ho-chi-minh,195591,183017,180175,107.0,2,7990000000.0,bds,74672897.19626169
184,the-infiniti-riviera-point,duong-nguyen-van-tuong,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,140.0,3,7400000000.0,bds,52857142.85714286
185,homyland-riverside,duong-nguyen-duy-trinh,phuong-binh-trung-dong,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772617,772629,180175,80.0,2,3120000000.0,bds,39000000.0
188,honas-residence,duong-binh-thung,phuong-binh-thang,thanh-pho-di-an,tinh-binh-duong,728776,728081,345944,67.0,2,2180000000.0,bds,32537313.43283582
189,zenity,duong-vo-van-kiet,phuong-cau-kho,quan-1,thanh-pho-ho-chi-minh,195455,180176,180175,108.0,2,9150000000.0,bds,84722222.22222222
190,the-infiniti-riviera-point,duong-nguyen-van-tuong,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,146.0,3,8000000000.0,bds,54794520.54794521
196,vinhomes-ocean-park-gia-lam,nan,xa-duong-xa,huyen-gia-lam,thanh-pho-ha-noi,151556,151480,148873,60.0,2,1750000000.0,bds,29166666.666666668
197,tecco-garden,duong-tu-hiep,xa-tu-hiep,huyen-thanh-tri,thanh-pho-ha-noi,195384,152474,148873,127.0,-1,3400000000.0,bds,26771653.54330709
198,sunrise-city,duong-nguyen-huu-tho,phuong-tan-hung,quan-7,thanh-pho-ho-chi-minh,195692,182215,180175,76.0,2,4000000000.0,bds,52631578.94736842
199,an-binh-city,duong-pham-van-dong,phuong-co-nhue-1,quan-bac-tu-liem,thanh-pho-ha-noi,195395,149087,148873,73.0,2,3150000000.0,bds,43150684.93150685
201,diamond-island,nan,phuong-binh-trung-tay,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772618,772629,180175,89.0,2,6800000000.0,bds,76404494.38202247
203,vinhomes-grand-park,nan,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,90.0,3,2700000000.0,bds,30000000.0
205,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,82.0,3,4428000000.0,bds,54000000.0
206,masteri-west-heights,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,80.0,3,4600000000.0,bds,57500000.0
207,green-diamond-93-lang-ha,pho-lang-ha,phuong-lang-ha,quan-dong-da,thanh-pho-ha-noi,195306,149387,148873,91.0,2,7100000000.0,bds,78021978.02197802
208,masteri-centre-point,duong-nguyen-xien,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,74.0,2,3700000000.0,bds,50000000.0
209,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,71.0,2,3200000000.0,bds,45070422.535211265
211,sunrise-city,duong-nguyen-huu-tho,phuong-tan-hung,quan-7,thanh-pho-ho-chi-minh,195692,182215,180175,76.0,2,3800000000.0,bds,50000000.0
213,one-verandah-mapletree,duong-bat-nan,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,80.0,2,5100000000.0,bds,63750000.0
214,feliz-en-vista,duong-dong-van-cong,phuong-thanh-my-loi,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772620,772629,180175,85.0,2,5600000000.0,bds,65882352.941176474
215,diamond-island,duong-104a,phuong-binh-trung-tay,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772618,772629,180175,89.0,2,6800000000.0,bds,76404494.38202247
216,saigon-pearl,duong-nguyen-huu-canh,phuong-22,quan-binh-thanh,thanh-pho-ho-chi-minh,195525,184576,180175,90.0,2,5000000000.0,bds,55555555.55555555
217,ehome-southgate,duong-dt-830,xa-an-thanh-3,huyen-cu-lao-dung,tinh-soc-trang,360695,348891,348886,51.0,2,1100000000.0,bds,21568627.45098039
218,lumiere-riverside,duong-xa-lo-ha-noi,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,76.0,2,6100000000.0,bds,80263157.89473684
219,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,55.0,-1,2700000000.0,bds,49090909.09090909
220,hado-centrosa-garden,duong-3-2-2,phuong-12,quan-10,thanh-pho-ho-chi-minh,195591,183017,180175,50.0,1,4500000000.0,bds,90000000.0
221,toa-nha-intracom1-trung-van,duong-trung-van,phuong-trung-van,quan-nam-tu-liem,thanh-pho-ha-noi,195378,150671,148873,75.8,-1,2500000000.0,bds,32981530.34300792
222,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,55.0,2,2500000000.0,bds,45454545.45454545
223,the-infiniti-riviera-point,duong-huynh-tan-phat,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,134.0,3,8040000000.0,bds,60000000.0
224,estella-heights,duong-xa-lo-ha-noi,phuong-an-phu,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772616,772629,180175,125.0,3,11500000000.0,bds,92000000.0
225,diamond-island,duong-1,phuong-binh-trung-tay,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772618,772629,180175,123.0,3,9800000000.0,bds,79674796.74796748
226,empire-city-thu-thiem,duong-mai-chi-tho,phuong-thu-thiem,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772623,772629,180175,100.0,2,11500000000.0,bds,115000000.0
227,the-infiniti-riviera-point,duong-huynh-tan-phat,phuong-tan-phu,quan-7,thanh-pho-ho-chi-minh,195696,182215,180175,121.57,3,8470000000.000001,bds,69671794.02813195
228,vinhomes-green-bay-me-tri,duong-dai-lo-thang-long,phuong-me-tri,quan-nam-tu-liem,thanh-pho-ha-noi,195375,150671,148873,92.0,3,5700000000.0,bds,61956521.73913044
229,the-imperial-complex,duong-thuy-van,phuong-thang-tam,thanh-pho-vung-tau,tinh-ba-ria---vung-tau,359616,324279,322861,56.0,1,3600000000.0,bds,64285714.28571428
230,the-beverly-vinhomes-grand-park,nan,phuong-long-thanh-my,thanh-pho-thu-duc,thanh-pho-ho-chi-minh,772604,772629,180175,101.0,3,5560000000.0,bds,55049504.95049505
231,chung-cu-83-ngoc-hoi,duong-ngoc-hoi,phuong-dai-kim,quan-hoang-mai,thanh-pho-ha-noi,195345,150379,148873,64.0,2,1700000000.0,bds,26562500.0
233,the-sakura-vinhomes-smart-city,nan,phuong-tay-mo,quan-nam-tu-liem,thanh-pho-ha-noi,195374,150671,148873,61.0,2,2800000000.0,bds,45901639.344262294
235,carillon-2,duong-trinh-dinh-thao,phuong-hoa-thanh,quan-tan-phu,thanh-pho-ho-chi-minh,195551,184080,180175,72.0,2,2900000000.0,bds,40277777.777777776
237,hado-centrosa-garden,duong-3-2-2,phuong-12,quan-10,thanh-pho-ho-chi-minh,195591,183017,180175,86.0,2,6600000000.0,bds,76744186.04651164
238,celadon-city,duong-n1,phuong-son-ky,quan-tan-phu,thanh-pho-ho-chi-minh,195545,184080,180175,50.0,1,1700000000.0,bds,34000000.0
240,picity-high-park,duong-thanh-xuan-13,phuong-thanh-xuan,quan-12,thanh-pho-ho-chi-minh,195456,183289,180175,57.0,-1,2150000000.0,bds,37719298.24561404
243,vinhomes-metropolis-lieu-giai,pho-lieu-giai,phuong-ngoc-khanh,quan-ba-dinh,thanh-pho-ha-noi,195248,148874,148873,78.09,2,6500000000.0,bds,83237290.30605711
244,opal-skyline,duong-nguyen-van-tiet,phuong-lai-thieu,thanh-pho-thuan-an,tinh-binh-duong,359425,345945,345944,66.0,2,1550000000.0,bds,23484848.484848484
245,richmond-city,pho-nguyen-xi,phuong-26,quan-binh-thanh,thanh-pho-ho-chi-minh,195511,184576,180175,73.0,2,3700000000.0,bds,50684931.50684932
246,rose-town,duong-ngoc-hoi,phuong-hoang-liet,quan-hoang-mai,thanh-pho-ha-noi,195352,150379,148873,70.7,2,2100000000.0,bds,29702970.2970297
247,vinhomes-golden-river-ba-son,pho-ton-duc-thang,phuong-ben-nghe,quan-1,thanh-pho-ho-chi-minh,195448,180176,180175,80.0,2,10000000000.0,bds,125000000.0
